"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.791160020E-1,-1.173200607E-1,1.843895912E-1,-3.673181534E-1,4.274179966E-1
2.837965750E-1,-1.545839310E-1,2.039976120E-1,-4.040613174E-1,4.783061422E-1
2.884770960E-1,-2.082166672E-1,1.824026108E-1,-4.216251373E-1,5.043735216E-1
2.931576690E-1,-2.567253113E-1,1.955070496E-1,-4.554119110E-1,5.581495324E-1
2.978382420E-1,-2.675952911E-1,2.313060760E-1,-4.584541321E-1,5.790422540E-1
3.025187630E-1,-2.888622284E-1,2.162675858E-1,-4.217357635E-1,5.550442414E-1
3.071993360E-1,-2.971491814E-1,1.672196388E-1,-3.573188782E-1,4.938996095E-1
3.118798560E-1,-3.398575783E-1,1.530318260E-1,-3.597688675E-1,5.180304540E-1
3.165604290E-1,-3.592805862E-1,1.072740555E-1,-5.031065941E-1,6.274603634E-1
3.212410020E-1,-3.814673424E-1,1.435956955E-1,-5.964617729E-1,7.224290302E-1
3.259215230E-1,-3.454742432E-1,1.756196022E-1,-4.352617264E-1,5.827928172E-1
3.306020960E-1,-3.069329262E-1,1.724934578E-1,-2.871928215E-1,4.543583727E-1
3.352826170E-1,-3.015997410E-1,1.657662392E-1,-2.207336426E-1,4.088571765E-1
3.399631900E-1,-3.052291870E-1,1.200089455E-1,-2.391123772E-1,4.058838904E-1
3.446437630E-1,-3.218741417E-1,9.457492828E-2,-3.193717003E-1,4.631907416E-1
3.493242840E-1,-3.296201229E-1,7.521390915E-2,-3.920121193E-1,5.176679044E-1
3.540048560E-1,-3.235015869E-1,5.952930450E-2,-4.332914352E-1,5.440022819E-1
3.586854290E-1,-3.142411709E-1,-7.948589325E-2,-5.141949654E-1,6.078338450E-1
3.633659500E-1,-2.498116493E-1,-3.302593231E-1,-7.185173035E-1,8.293034403E-1
3.680465230E-1,-1.113424301E-1,-2.239322662E-1,-7.206516266E-1,7.628116173E-1
3.727270440E-1,8.559846878E-2,-1.370730400E-1,-6.313090324E-1,6.516649527E-1
3.774076170E-1,1.815023422E-1,-3.655958176E-2,-4.020471573E-1,4.426303423E-1
3.820881900E-1,2.436168194E-1,1.118803024E-2,-1.338019371E-1,2.781677283E-1
3.867687110E-1,2.915921211E-1,-1.187896729E-1,1.021575928E-2,3.150258929E-1
3.914492840E-1,2.850899696E-1,-1.245150566E-1,2.656674385E-1,4.090959276E-1
3.961298040E-1,2.858982086E-1,-6.208372116E-2,4.752330780E-1,5.580668890E-1
4.008103770E-1,2.796647549E-1,1.749134064E-2,6.539506912E-1,7.114561326E-1
4.054909500E-1,2.641787529E-1,5.652570724E-2,7.765760422E-1,8.222261966E-1
4.101714710E-1,3.223147392E-1,1.029324532E-1,7.892007828E-1,8.586732537E-1
4.148520440E-1,4.412163496E-1,1.209831238E-1,9.130392075E-1,1.021248930E0
4.195325650E-1,4.478001595E-1,1.602344513E-1,1.007545471E0,1.114157951E0
4.242131380E-1,3.352308273E-1,2.087841034E-1,9.265394211E-1,1.007197006E0
4.288937110E-1,1.800669432E-1,1.726541519E-1,5.937414169E-1,6.440205202E-1
4.335742310E-1,1.547365189E-1,6.930065155E-2,3.197002411E-1,3.618759659E-1
4.382548040E-1,1.613918543E-1,3.445148468E-2,2.054195404E-1,2.634984307E-1
4.429353250E-1,2.207962275E-1,7.446479797E-2,3.318300247E-1,4.054715101E-1
4.476158980E-1,2.895467281E-1,9.626865387E-2,3.741855621E-1,4.828248092E-1
4.522964710E-1,3.409243822E-1,8.871221542E-2,5.507211685E-1,6.537530857E-1
4.569769920E-1,3.579887152E-1,6.894254684E-2,6.394987106E-1,7.361165640E-1
4.616575650E-1,3.523842096E-1,2.280521393E-2,7.786359787E-1,8.549670732E-1
4.663381380E-1,3.192455769E-1,-2.141189575E-2,8.658399582E-1,9.230682753E-1
4.710186590E-1,2.935731411E-1,-7.967138290E-2,9.058580399E-1,9.555686824E-1
4.756992310E-1,2.201297283E-1,-1.229031086E-1,9.508838654E-1,9.837389881E-1
4.803797520E-1,1.110280752E-1,-1.159856319E-1,9.345941544E-1,9.482858924E-1
4.850603250E-1,5.166804790E-2,-5.973172188E-2,9.050445557E-1,9.084839644E-1
4.897408980E-1,-1.101481915E-2,-2.002000809E-3,8.812103271E-1,8.812814391E-1
4.944214190E-1,-4.190063477E-2,4.752612114E-2,8.559026718E-1,8.582445916E-1
4.991019920E-1,-1.552700996E-2,9.823894501E-2,8.030624390E-1,8.091979110E-1
5.037825650E-1,1.979315281E-2,9.802889824E-2,6.896448135E-1,6.968582371E-1
5.084630860E-1,3.310668468E-2,1.159641743E-1,5.209751129E-1,5.347511670E-1
5.131436590E-1,-1.094555855E-2,1.352880001E-1,3.449335098E-1,3.706774534E-1
5.178241790E-1,-1.497912407E-2,9.440827370E-2,2.373409271E-1,2.558671765E-1
5.225047520E-1,5.867481232E-3,1.786446571E-2,1.665344238E-1,1.675926036E-1
5.271853250E-1,-2.550733089E-2,-6.264901161E-2,1.531581879E-1,1.674304426E-1
5.318658460E-1,-7.644033432E-2,-6.892013550E-2,2.250871658E-1,2.475022061E-1
5.365464190E-1,-1.523834467E-1,-6.530976295E-2,3.552913666E-1,3.920689163E-1
5.412269400E-1,-1.487458944E-1,-6.162905693E-2,4.129705429E-1,4.432472798E-1
5.459075130E-1,-1.585714817E-1,3.998279572E-3,3.014936447E-1,3.406747993E-1
5.505880860E-1,-1.763391495E-1,1.238884926E-1,1.908903122E-1,2.878940179E-1
5.552686060E-1,-1.398484707E-1,2.426955700E-1,1.501760483E-1,3.178231897E-1
5.599491790E-1,-6.594574451E-2,3.271515369E-1,1.836051941E-1,3.809039730E-1
5.646297000E-1,-1.614874601E-2,4.177060127E-1,2.456474304E-1,4.848523024E-1
5.693102730E-1,2.226740122E-2,5.042045116E-1,2.770767212E-1,5.757512798E-1
5.739908460E-1,9.709119797E-3,5.889604092E-1,2.996168137E-1,6.608622138E-1
5.786713670E-1,1.607841253E-2,6.908242702E-1,3.656730652E-1,7.818014315E-1
5.833519400E-1,5.621290207E-2,7.594487667E-1,4.323568344E-1,8.757024334E-1
5.880325130E-1,1.283846498E-1,7.666008472E-1,4.213733673E-1,8.841464765E-1
5.927130340E-1,1.977722645E-1,7.057271004E-1,3.072090149E-1,7.946961606E-1
5.973936060E-1,2.865732908E-1,5.823829174E-1,9.766197205E-2,6.563779203E-1
