t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
450;-0.13160525;2.7481568;9.536594;-0.020540329;-0.02489274;0.014202606;15.39375;-25.931252;-29.6625
459;-0.09212367;2.774478;9.493524;-0.011988222;-0.021227552;0.0108428495;15.337501;-25.931252;-29.475
468;-0.078963146;2.812763;9.503095;-0.0022143847;-0.010231985;0.00320704;15.1125;-25.95;-29.1375
478;-0.11006984;2.8570302;9.479167;0.0063377223;-0.008704823;-0.008093959;14.587501;-26.5125;-28.5375
487;-0.104087785;2.8833513;9.404989;0.013973532;-0.027030766;-0.020922119;14.062501;-26.85;-27.900002
496;-0.12083755;2.8570302;9.335598;0.024358233;-0.046273008;-0.031306818;13.70625;-27.2625;-27.281252
506;-0.11365908;2.8725836;9.323633;0.0353538;-0.055130545;-0.04138609;13.856251;-27.018751;-27.206251
515;-0.17108682;2.8666015;9.314062;0.0457385;-0.05574141;-0.04963276;13.650001;-27.300001;-26.75625
524;-0.17347965;2.8725836;9.32483;0.050014555;-0.059101168;-0.056046844;13.125001;-27.69375;-26.362501
534;-0.17228323;2.8630123;9.305687;0.048792824;-0.06918044;-0.056963142;12.6;-28.1625;-25.968752
543;-0.15792629;2.853441;9.286545;0.04421134;-0.08261946;-0.057879437;12.918751;-27.91875;-26.437502
553;-0.12921242;2.8642087;9.253045;0.03565923;-0.093309596;-0.0594066;13.25625;-27.50625;-26.79375
562;-0.12562318;2.8522446;9.257831;0.027717989;-0.09422589;-0.062460925;13.575001;-27.4125;-27.206251
571;-0.15553348;2.8917263;9.369097;0.017333288;-0.077121675;-0.06704241;14.043751;-26.75625;-27.768751
581;-0.1698904;2.9072795;9.407382;2.290743E-4;-0.062155493;-0.0716239;13.875001;-27.056252;-27.750002
590;-0.15553348;2.8845477;9.393025;-0.013515383;-0.067958705;-0.0716239;14.418751;-26.550001;-28.087502
599;-0.16271193;2.8642087;9.383454;-0.02573268;-0.077121675;-0.07009673;15.093751;-25.987501;-28.968752
609;-0.1471586;2.8342984;9.385847;-0.026954409;-0.08048143;-0.07192933;15.7875;-25.44375;-29.681252
618;-0.13519448;2.8438697;9.400204;-0.018707734;-0.07987057;-0.075594515;15.750001;-25.556252;-29.79375
627;-0.14955142;2.8390841;9.426525;-0.005574141;-0.07101303;-0.07895427;16.125;-25.181252;-30.056252
637;-0.14476576;2.841477;9.420543;0.008170316;-0.052076224;-0.07864884;16.25625;-25.050001;-30.243752
646;-0.12801601;2.8163524;9.377472;0.020387612;-0.04046979;-0.07101303;16.3125;-25.031252;-30.243752
656;-0.1698904;2.8283165;9.327223;0.03291034;-0.039858926;-0.06093376;16.66875;-24.69375;-30.281252
665;-0.13040884;2.8342984;9.298509;0.046349365;-0.04963276;-0.050854493;16.612501;-24.73125;-30.393751
674;-0.1052842;2.8426733;9.223135;0.057650365;-0.07192933;-0.041691523;16.59375;-24.768751;-30.225
684;-0.08015956;2.9108686;9.200403;0.069867656;-0.10308343;-0.028863361;16.1625;-24.900002;-30.187502
693;-0.02751746;2.9862428;9.170493;0.081779525;-0.13545926;-0.016340632;16.050001;-24.956251;-30.150002
702;0.043070808;3.0723844;9.11785;0.09277509;-0.17027856;-0.0035124724;15.843751;-25.2;-30.16875
712;0.15194423;3.1537402;9.071191;0.105908684;-0.19776747;7.6358096E-4;15.937501;-24.993752;-30.225
721;0.26081768;3.138187;9.0029955;0.11384992;-0.20509785;-0.0019853106;15.900001;-24.975;-30.300001
730;0.32183465;3.2123644;9.013762;0.11446079;-0.1867719;-0.014202606;15.50625;-25.125002;-30.300001
740;0.33499518;3.4193435;8.988638;0.101632625;-0.16019928;-0.045967575;15.58125;-25.050001;-30.243752
749;0.33020952;3.5736806;8.965906;0.08697187;-0.14217877;-0.06734784;15.431251;-25.25625;-29.962502
758;0.32542387;3.583252;8.946764;0.07322741;-0.123852834;-0.07345649;15.675;-24.806252;-30.056252
768;0.3182454;3.5126636;8.91805;0.056734066;-0.10919208;-0.07437278;15.69375;-24.73125;-30.187502
777;0.33260235;3.4839497;8.867801;0.04054615;-0.10338886;-0.08628465;15.731251;-24.581251;-30.112501
787;0.3481557;3.5449667;8.842676;0.022525638;-0.10613775;-0.10613775;15.806251;-24.6375;-29.98125
796;0.35174492;3.6047873;8.873783;0.0051159924;-0.12202024;-0.12293654;15.7875;-24.975;-29.79375
805;0.38285163;3.621537;8.989835;-0.008933897;-0.14828743;-0.13271037;15.975;-25.1625;-29.6625
815;0.44626144;3.5904303;9.127422;-0.026343543;-0.19196425;-0.1375973;15.918751;-25.181252;-29.812502
824;0.5204389;3.5365918;9.24826;-0.048334677;-0.2527453;-0.1443168;15.975;-24.937502;-30.056252
833;0.5694918;3.4995031;9.359526;-0.07246383;-0.3113883;-0.15378521;15.806251;-25.331251;-29.8875
843;0.58624154;3.4097722;9.479167;-0.09995275;-0.35201082;-0.15989386;15.656251;-25.425001;-29.79375
852;0.5922236;3.4049866;9.584451;-0.12835796;-0.35781404;-0.1583667;15.50625;-25.518751;-29.550001
861;0.57547385;3.5976088;9.59163;-0.1503491;-0.33643377;-0.159283;15.525001;-25.29375;-29.868752
871;0.5515456;3.7005002;9.5665045;-0.16317725;-0.2924515;-0.14920372;15.637501;-24.937502;-30.150002
